PG,SG,SF,PF,C,G,F,UTIL,Proj,Ceiling,Salary,Cash %,Top 1%,ROI%,Wins,Own Sum,Avg Return,Stack1,Stack2,Lineup,Dupes,User,Index,Entry ID
Josh Giddey (37509444),Jaylen Brown (37509406),Matas Buzelis (37509624),Giannis Antetokounmpo (37509355),Nikola Vucevic (37509400),Quentin Grimes (37509557),Naji Marshall (37509550),Kylor Kelley (37509901),320.15916666666664,369.3499292615783,50000,0.00%,0,-100.0%,0,200.97,$-3.0,CHI 3,DAL 3,user36,50,marvalshot,2411,4630248023_36
Cade Cunningham (37509362),Coby White (37509464),Quentin Grimes (37509557),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Jaden Hardy (37509673),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),325.2675,366.20944492168815,50000,0.00%,0,-100.0%,0,200.57,$-3.0,DAL 4,CHI 2,user36,86,marvalshot,522,4630248024_36
Coby White (37509464),Kelly Oubre Jr. (37509455),Klay Thompson (37509505),Patrick Williams (37509554),Giannis Antetokounmpo (37509355),Cade Cunningham (37509362),Olivier-Maxence Prosper (37509676),Kylor Kelley (37509901),273.92944444444447,319.65401190111,50000,0.00%,0,-100.0%,0,170.64,$-3.0,DAL 3,CHI 2,user36,50,marvalshot,5295,4630248025_36
Cade Cunningham (37509362),Kelly Oubre Jr. (37509455),Naji Marshall (37509550),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),Quentin Grimes (37509557),Kawhi Leonard (37509447),Olivier-Maxence Prosper (37509676),297.1584331597222,351.95064553851904,50000,100.00%,0,66.67%,0,202.35,$2.0,DAL 4,DET 1,user36,50,marvalshot,4401,4630248026_36
Cade Cunningham (37509362),Kelly Oubre Jr. (37509455),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Ivica Zubac (37509426),Kevin Porter Jr. (37509656),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),310.62564236111115,366.0546202513954,49900,100.00%,0,66.69%,0,191.92999999999998,$2.0,DAL 3,LAC 2,user36,50,marvalshot,3469,4630248027_36
Cade Cunningham (37509362),Quentin Grimes (37509557),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Klay Thompson (37509505),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),303.6041666666667,348.00089276540143,50000,0.00%,0,-100.0%,0,224.73,$-3.0,DAL 5,DET 1,user37,50,marvalshot,1351,4630248018_37
Cade Cunningham (37509362),Quentin Grimes (37509557),Ausar Thompson (37509531),Naji Marshall (37509550),Nikola Vucevic (37509400),Jaden Hardy (37509673),Giannis Antetokounmpo (37509355),Olivier-Maxence Prosper (37509676),314.7341666666667,355.5898358369194,50000,0.00%,0,-100.0%,0,212.45,$-3.0,DAL 4,DET 2,user37,51,marvalshot,802,4630248019_37
Josh Giddey (37509444),Klay Thompson (37509505),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Desmond Bane (37509420),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),313.0405555555556,366.3274512136281,50000,0.00%,0,-100.0%,0,202.15999999999997,$-3.0,DAL 4,CHI 2,user37,50,marvalshot,2992,4630248020_37
Josh Giddey (37509444),Quentin Grimes (37509557),RJ Barrett (37509428),Naji Marshall (37509550),Nikola Vucevic (37509400),Kevin Porter Jr. (37509656),Olivier-Maxence Prosper (37509676),Giannis Antetokounmpo (37509355),335.4552387152778,381.47224120694267,49400,48.83%,0,-98.57%,0,198.69,$-2.96,DAL 3,CHI 2,user37,50,marvalshot,491,4630248021_37
Kevin Porter Jr. (37509656),Luke Kennard (37509544),Quentin Grimes (37509557),Naji Marshall (37509550),Nikola Vucevic (37509400),Tyrese Maxey (37509365),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),325.1793619791667,389.71831667478625,49500,100.00%,0,97.02%,0,201.07,$2.91,DAL 3,LAC 1,user37,50,marvalshot,5166,4630248022_37
Josh Giddey (37509444),Jaylen Brown (37509406),Matas Buzelis (37509624),Giannis Antetokounmpo (37509355),Nikola Vucevic (37509400),Quentin Grimes (37509557),Naji Marshall (37509550),Kylor Kelley (37509901),320.15916666666664,369.3499292615783,50000,0.00%,0,-100.0%,0,200.97,$-3.0,CHI 3,DAL 3,user37,50,marvalshot,2411,4630248023_37
Cade Cunningham (37509362),Coby White (37509464),Quentin Grimes (37509557),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Jaden Hardy (37509673),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),325.2675,366.20944492168815,50000,0.00%,0,-100.0%,0,200.57,$-3.0,DAL 4,CHI 2,user37,86,marvalshot,522,4630248024_37
Coby White (37509464),Kelly Oubre Jr. (37509455),Klay Thompson (37509505),Patrick Williams (37509554),Giannis Antetokounmpo (37509355),Cade Cunningham (37509362),Olivier-Maxence Prosper (37509676),Kylor Kelley (37509901),273.92944444444447,319.65401190111,50000,0.00%,0,-100.0%,0,170.64,$-3.0,DAL 3,CHI 2,user37,50,marvalshot,5295,4630248025_37
Cade Cunningham (37509362),Kelly Oubre Jr. (37509455),Naji Marshall (37509550),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),Quentin Grimes (37509557),Kawhi Leonard (37509447),Olivier-Maxence Prosper (37509676),297.1584331597222,351.95064553851904,50000,100.00%,0,66.67%,0,202.35,$2.0,DAL 4,DET 1,user37,50,marvalshot,4401,4630248026_37
Cade Cunningham (37509362),Kelly Oubre Jr. (37509455),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Ivica Zubac (37509426),Kevin Porter Jr. (37509656),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),310.62564236111115,366.0546202513954,49900,100.00%,0,66.69%,0,191.92999999999998,$2.0,DAL 3,LAC 2,user37,50,marvalshot,3469,4630248027_37
Cade Cunningham (37509362),Quentin Grimes (37509557),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Klay Thompson (37509505),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),303.6041666666667,348.00089276540143,50000,0.00%,0,-100.0%,0,224.73,$-3.0,DAL 5,DET 1,user38,50,marvalshot,1351,4630248018_38
Cade Cunningham (37509362),Quentin Grimes (37509557),Ausar Thompson (37509531),Naji Marshall (37509550),Nikola Vucevic (37509400),Jaden Hardy (37509673),Giannis Antetokounmpo (37509355),Olivier-Maxence Prosper (37509676),314.7341666666667,355.5898358369194,50000,0.00%,0,-100.0%,0,212.45,$-3.0,DAL 4,DET 2,user38,51,marvalshot,802,4630248019_38
Josh Giddey (37509444),Klay Thompson (37509505),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Desmond Bane (37509420),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),313.0405555555556,366.3274512136281,50000,0.00%,0,-100.0%,0,202.15999999999997,$-3.0,DAL 4,CHI 2,user38,50,marvalshot,2992,4630248020_38
Josh Giddey (37509444),Quentin Grimes (37509557),RJ Barrett (37509428),Naji Marshall (37509550),Nikola Vucevic (37509400),Kevin Porter Jr. (37509656),Olivier-Maxence Prosper (37509676),Giannis Antetokounmpo (37509355),335.4552387152778,381.47224120694267,49400,48.83%,0,-98.57%,0,198.69,$-2.96,DAL 3,CHI 2,user38,50,marvalshot,491,4630248021_38
Kevin Porter Jr. (37509656),Luke Kennard (37509544),Quentin Grimes (37509557),Naji Marshall (37509550),Nikola Vucevic (37509400),Tyrese Maxey (37509365),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),325.1793619791667,389.71831667478625,49500,100.00%,0,97.02%,0,201.07,$2.91,DAL 3,LAC 1,user38,50,marvalshot,5166,4630248022_38
Josh Giddey (37509444),Jaylen Brown (37509406),Matas Buzelis (37509624),Giannis Antetokounmpo (37509355),Nikola Vucevic (37509400),Quentin Grimes (37509557),Naji Marshall (37509550),Kylor Kelley (37509901),320.15916666666664,369.3499292615783,50000,0.00%,0,-100.0%,0,200.97,$-3.0,CHI 3,DAL 3,user38,50,marvalshot,2411,4630248023_38
Cade Cunningham (37509362),Coby White (37509464),Quentin Grimes (37509557),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Jaden Hardy (37509673),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),325.2675,366.20944492168815,50000,0.00%,0,-100.0%,0,200.57,$-3.0,DAL 4,CHI 2,user38,86,marvalshot,522,4630248024_38
Coby White (37509464),Kelly Oubre Jr. (37509455),Klay Thompson (37509505),Patrick Williams (37509554),Giannis Antetokounmpo (37509355),Cade Cunningham (37509362),Olivier-Maxence Prosper (37509676),Kylor Kelley (37509901),273.92944444444447,319.65401190111,50000,0.00%,0,-100.0%,0,170.64,$-3.0,DAL 3,CHI 2,user38,50,marvalshot,5295,4630248025_38
Cade Cunningham (37509362),Kelly Oubre Jr. (37509455),Naji Marshall (37509550),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),Quentin Grimes (37509557),Kawhi Leonard (37509447),Olivier-Maxence Prosper (37509676),297.1584331597222,351.95064553851904,50000,100.00%,0,66.67%,0,202.35,$2.0,DAL 4,DET 1,user38,50,marvalshot,4401,4630248026_38
Cade Cunningham (37509362),Kelly Oubre Jr. (37509455),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Ivica Zubac (37509426),Kevin Porter Jr. (37509656),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),310.62564236111115,366.0546202513954,49900,100.00%,0,66.69%,0,191.92999999999998,$2.0,DAL 3,LAC 2,user38,50,marvalshot,3469,4630248027_38
Cade Cunningham (37509362),Quentin Grimes (37509557),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Klay Thompson (37509505),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),303.6041666666667,348.00089276540143,50000,0.00%,0,-100.0%,0,224.73,$-3.0,DAL 5,DET 1,user39,50,marvalshot,1351,4630248018_39
Cade Cunningham (37509362),Quentin Grimes (37509557),Ausar Thompson (37509531),Naji Marshall (37509550),Nikola Vucevic (37509400),Jaden Hardy (37509673),Giannis Antetokounmpo (37509355),Olivier-Maxence Prosper (37509676),314.7341666666667,355.5898358369194,50000,0.00%,0,-100.0%,0,212.45,$-3.0,DAL 4,DET 2,user39,51,marvalshot,802,4630248019_39
Josh Giddey (37509444),Klay Thompson (37509505),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Desmond Bane (37509420),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),313.0405555555556,366.3274512136281,50000,0.00%,0,-100.0%,0,202.15999999999997,$-3.0,DAL 4,CHI 2,user39,50,marvalshot,2992,4630248020_39
Josh Giddey (37509444),Quentin Grimes (37509557),RJ Barrett (37509428),Naji Marshall (37509550),Nikola Vucevic (37509400),Kevin Porter Jr. (37509656),Olivier-Maxence Prosper (37509676),Giannis Antetokounmpo (37509355),335.4552387152778,381.47224120694267,49400,48.83%,0,-98.57%,0,198.69,$-2.96,DAL 3,CHI 2,user39,50,marvalshot,491,4630248021_39
Kevin Porter Jr. (37509656),Luke Kennard (37509544),Quentin Grimes (37509557),Naji Marshall (37509550),Nikola Vucevic (37509400),Tyrese Maxey (37509365),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),325.1793619791667,389.71831667478625,49500,100.00%,0,97.02%,0,201.07,$2.91,DAL 3,LAC 1,user39,50,marvalshot,5166,4630248022_39
Josh Giddey (37509444),Jaylen Brown (37509406),Matas Buzelis (37509624),Giannis Antetokounmpo (37509355),Nikola Vucevic (37509400),Quentin Grimes (37509557),Naji Marshall (37509550),Kylor Kelley (37509901),320.15916666666664,369.3499292615783,50000,0.00%,0,-100.0%,0,200.97,$-3.0,CHI 3,DAL 3,user39,50,marvalshot,2411,4630248023_39
Cade Cunningham (37509362),Coby White (37509464),Quentin Grimes (37509557),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Jaden Hardy (37509673),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),325.2675,366.20944492168815,50000,0.00%,0,-100.0%,0,200.57,$-3.0,DAL 4,CHI 2,user39,86,marvalshot,522,4630248024_39
Coby White (37509464),Kelly Oubre Jr. (37509455),Klay Thompson (37509505),Patrick Williams (37509554),Giannis Antetokounmpo (37509355),Cade Cunningham (37509362),Olivier-Maxence Prosper (37509676),Kylor Kelley (37509901),273.92944444444447,319.65401190111,50000,0.00%,0,-100.0%,0,170.64,$-3.0,DAL 3,CHI 2,user39,50,marvalshot,5295,4630248025_39
Cade Cunningham (37509362),Kelly Oubre Jr. (37509455),Naji Marshall (37509550),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),Quentin Grimes (37509557),Kawhi Leonard (37509447),Olivier-Maxence Prosper (37509676),297.1584331597222,351.95064553851904,50000,100.00%,0,66.67%,0,202.35,$2.0,DAL 4,DET 1,user39,50,marvalshot,4401,4630248026_39
Cade Cunningham (37509362),Kelly Oubre Jr. (37509455),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Ivica Zubac (37509426),Kevin Porter Jr. (37509656),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),310.62564236111115,366.0546202513954,49900,100.00%,0,66.69%,0,191.92999999999998,$2.0,DAL 3,LAC 2,user39,50,marvalshot,3469,4630248027_39
Cade Cunningham (37509362),Quentin Grimes (37509557),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Klay Thompson (37509505),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),303.6041666666667,348.00089276540143,50000,0.00%,0,-100.0%,0,224.73,$-3.0,DAL 5,DET 1,user40,50,marvalshot,1351,4630248018_40
Cade Cunningham (37509362),Quentin Grimes (37509557),Ausar Thompson (37509531),Naji Marshall (37509550),Nikola Vucevic (37509400),Jaden Hardy (37509673),Giannis Antetokounmpo (37509355),Olivier-Maxence Prosper (37509676),314.7341666666667,355.5898358369194,50000,0.00%,0,-100.0%,0,212.45,$-3.0,DAL 4,DET 2,user40,51,marvalshot,802,4630248019_40
Josh Giddey (37509444),Klay Thompson (37509505),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Desmond Bane (37509420),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),313.0405555555556,366.3274512136281,50000,0.00%,0,-100.0%,0,202.15999999999997,$-3.0,DAL 4,CHI 2,user40,50,marvalshot,2992,4630248020_40
Josh Giddey (37509444),Quentin Grimes (37509557),RJ Barrett (37509428),Naji Marshall (37509550),Nikola Vucevic (37509400),Kevin Porter Jr. (37509656),Olivier-Maxence Prosper (37509676),Giannis Antetokounmpo (37509355),335.4552387152778,381.47224120694267,49400,48.83%,0,-98.57%,0,198.69,$-2.96,DAL 3,CHI 2,user40,50,marvalshot,491,4630248021_40
Kevin Porter Jr. (37509656),Luke Kennard (37509544),Quentin Grimes (37509557),Naji Marshall (37509550),Nikola Vucevic (37509400),Tyrese Maxey (37509365),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),325.1793619791667,389.71831667478625,49500,100.00%,0,97.02%,0,201.07,$2.91,DAL 3,LAC 1,user40,50,marvalshot,5166,4630248022_40
Josh Giddey (37509444),Jaylen Brown (37509406),Matas Buzelis (37509624),Giannis Antetokounmpo (37509355),Nikola Vucevic (37509400),Quentin Grimes (37509557),Naji Marshall (37509550),Kylor Kelley (37509901),320.15916666666664,369.3499292615783,50000,0.00%,0,-100.0%,0,200.97,$-3.0,CHI 3,DAL 3,user40,50,marvalshot,2411,4630248023_40
Cade Cunningham (37509362),Coby White (37509464),Quentin Grimes (37509557),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Jaden Hardy (37509673),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),325.2675,366.20944492168815,50000,0.00%,0,-100.0%,0,200.57,$-3.0,DAL 4,CHI 2,user40,86,marvalshot,522,4630248024_40
Coby White (37509464),Kelly Oubre Jr. (37509455),Klay Thompson (37509505),Patrick Williams (37509554),Giannis Antetokounmpo (37509355),Cade Cunningham (37509362),Olivier-Maxence Prosper (37509676),Kylor Kelley (37509901),273.92944444444447,319.65401190111,50000,0.00%,0,-100.0%,0,170.64,$-3.0,DAL 3,CHI 2,user40,50,marvalshot,5295,4630248025_40
Cade Cunningham (37509362),Kelly Oubre Jr. (37509455),Naji Marshall (37509550),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),Quentin Grimes (37509557),Kawhi Leonard (37509447),Olivier-Maxence Prosper (37509676),297.1584331597222,351.95064553851904,50000,100.00%,0,66.67%,0,202.35,$2.0,DAL 4,DET 1,user40,50,marvalshot,4401,4630248026_40
Cade Cunningham (37509362),Kelly Oubre Jr. (37509455),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Ivica Zubac (37509426),Kevin Porter Jr. (37509656),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),310.62564236111115,366.0546202513954,49900,100.00%,0,66.69%,0,191.92999999999998,$2.0,DAL 3,LAC 2,user40,50,marvalshot,3469,4630248027_40
Cade Cunningham (37509362),Quentin Grimes (37509557),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Klay Thompson (37509505),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),303.6041666666667,348.00089276540143,50000,0.00%,0,-100.0%,0,224.73,$-3.0,DAL 5,DET 1,user41,50,marvalshot,1351,4630248018_41
Cade Cunningham (37509362),Quentin Grimes (37509557),Ausar Thompson (37509531),Naji Marshall (37509550),Nikola Vucevic (37509400),Jaden Hardy (37509673),Giannis Antetokounmpo (37509355),Olivier-Maxence Prosper (37509676),314.7341666666667,355.5898358369194,50000,0.00%,0,-100.0%,0,212.45,$-3.0,DAL 4,DET 2,user41,51,marvalshot,802,4630248019_41
Josh Giddey (37509444),Klay Thompson (37509505),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Desmond Bane (37509420),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),313.0405555555556,366.3274512136281,50000,0.00%,0,-100.0%,0,202.15999999999997,$-3.0,DAL 4,CHI 2,user41,50,marvalshot,2992,4630248020_41
Josh Giddey (37509444),Quentin Grimes (37509557),RJ Barrett (37509428),Naji Marshall (37509550),Nikola Vucevic (37509400),Kevin Porter Jr. (37509656),Olivier-Maxence Prosper (37509676),Giannis Antetokounmpo (37509355),335.4552387152778,381.47224120694267,49400,48.83%,0,-98.57%,0,198.69,$-2.96,DAL 3,CHI 2,user41,50,marvalshot,491,4630248021_41
Kevin Porter Jr. (37509656),Luke Kennard (37509544),Quentin Grimes (37509557),Naji Marshall (37509550),Nikola Vucevic (37509400),Tyrese Maxey (37509365),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),325.1793619791667,389.71831667478625,49500,100.00%,0,97.02%,0,201.07,$2.91,DAL 3,LAC 1,user41,50,marvalshot,5166,4630248022_41
Josh Giddey (37509444),Jaylen Brown (37509406),Matas Buzelis (37509624),Giannis Antetokounmpo (37509355),Nikola Vucevic (37509400),Quentin Grimes (37509557),Naji Marshall (37509550),Kylor Kelley (37509901),320.15916666666664,369.3499292615783,50000,0.00%,0,-100.0%,0,200.97,$-3.0,CHI 3,DAL 3,user41,50,marvalshot,2411,4630248023_41
Cade Cunningham (37509362),Coby White (37509464),Quentin Grimes (37509557),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Jaden Hardy (37509673),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),325.2675,366.20944492168815,50000,0.00%,0,-100.0%,0,200.57,$-3.0,DAL 4,CHI 2,user41,86,marvalshot,522,4630248024_41
Coby White (37509464),Kelly Oubre Jr. (37509455),Klay Thompson (37509505),Patrick Williams (37509554),Giannis Antetokounmpo (37509355),Cade Cunningham (37509362),Olivier-Maxence Prosper (37509676),Kylor Kelley (37509901),273.92944444444447,319.65401190111,50000,0.00%,0,-100.0%,0,170.64,$-3.0,DAL 3,CHI 2,user41,50,marvalshot,5295,4630248025_41
Cade Cunningham (37509362),Kelly Oubre Jr. (37509455),Naji Marshall (37509550),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),Quentin Grimes (37509557),Kawhi Leonard (37509447),Olivier-Maxence Prosper (37509676),297.1584331597222,351.95064553851904,50000,100.00%,0,66.67%,0,202.35,$2.0,DAL 4,DET 1,user41,50,marvalshot,4401,4630248026_41
Cade Cunningham (37509362),Kelly Oubre Jr. (37509455),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Ivica Zubac (37509426),Kevin Porter Jr. (37509656),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),310.62564236111115,366.0546202513954,49900,100.00%,0,66.69%,0,191.92999999999998,$2.0,DAL 3,LAC 2,user41,50,marvalshot,3469,4630248027_41
Cade Cunningham (37509362),Quentin Grimes (37509557),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Klay Thompson (37509505),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),303.6041666666667,348.00089276540143,50000,0.00%,0,-100.0%,0,224.73,$-3.0,DAL 5,DET 1,user42,50,marvalshot,1351,4630248018_42
Cade Cunningham (37509362),Quentin Grimes (37509557),Ausar Thompson (37509531),Naji Marshall (37509550),Nikola Vucevic (37509400),Jaden Hardy (37509673),Giannis Antetokounmpo (37509355),Olivier-Maxence Prosper (37509676),314.7341666666667,355.5898358369194,50000,0.00%,0,-100.0%,0,212.45,$-3.0,DAL 4,DET 2,user42,51,marvalshot,802,4630248019_42
Josh Giddey (37509444),Klay Thompson (37509505),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Desmond Bane (37509420),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),313.0405555555556,366.3274512136281,50000,0.00%,0,-100.0%,0,202.15999999999997,$-3.0,DAL 4,CHI 2,user42,50,marvalshot,2992,4630248020_42
Josh Giddey (37509444),Quentin Grimes (37509557),RJ Barrett (37509428),Naji Marshall (37509550),Nikola Vucevic (37509400),Kevin Porter Jr. (37509656),Olivier-Maxence Prosper (37509676),Giannis Antetokounmpo (37509355),335.4552387152778,381.47224120694267,49400,48.83%,0,-98.57%,0,198.69,$-2.96,DAL 3,CHI 2,user42,50,marvalshot,491,4630248021_42
Kevin Porter Jr. (37509656),Luke Kennard (37509544),Quentin Grimes (37509557),Naji Marshall (37509550),Nikola Vucevic (37509400),Tyrese Maxey (37509365),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),325.1793619791667,389.71831667478625,49500,100.00%,0,97.02%,0,201.07,$2.91,DAL 3,LAC 1,user42,50,marvalshot,5166,4630248022_42
Josh Giddey (37509444),Jaylen Brown (37509406),Matas Buzelis (37509624),Giannis Antetokounmpo (37509355),Nikola Vucevic (37509400),Quentin Grimes (37509557),Naji Marshall (37509550),Kylor Kelley (37509901),320.15916666666664,369.3499292615783,50000,0.00%,0,-100.0%,0,200.97,$-3.0,CHI 3,DAL 3,user42,50,marvalshot,2411,4630248023_42
Cade Cunningham (37509362),Coby White (37509464),Quentin Grimes (37509557),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Jaden Hardy (37509673),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),325.2675,366.20944492168815,50000,0.00%,0,-100.0%,0,200.57,$-3.0,DAL 4,CHI 2,user42,86,marvalshot,522,4630248024_42
Coby White (37509464),Kelly Oubre Jr. (37509455),Klay Thompson (37509505),Patrick Williams (37509554),Giannis Antetokounmpo (37509355),Cade Cunningham (37509362),Olivier-Maxence Prosper (37509676),Kylor Kelley (37509901),273.92944444444447,319.65401190111,50000,0.00%,0,-100.0%,0,170.64,$-3.0,DAL 3,CHI 2,user42,50,marvalshot,5295,4630248025_42
Cade Cunningham (37509362),Kelly Oubre Jr. (37509455),Naji Marshall (37509550),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),Quentin Grimes (37509557),Kawhi Leonard (37509447),Olivier-Maxence Prosper (37509676),297.1584331597222,351.95064553851904,50000,100.00%,0,66.67%,0,202.35,$2.0,DAL 4,DET 1,user42,50,marvalshot,4401,4630248026_42
Cade Cunningham (37509362),Kelly Oubre Jr. (37509455),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Ivica Zubac (37509426),Kevin Porter Jr. (37509656),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),310.62564236111115,366.0546202513954,49900,100.00%,0,66.69%,0,191.92999999999998,$2.0,DAL 3,LAC 2,user42,50,marvalshot,3469,4630248027_42
Cade Cunningham (37509362),Quentin Grimes (37509557),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Klay Thompson (37509505),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),303.6041666666667,348.00089276540143,50000,0.00%,0,-100.0%,0,224.73,$-3.0,DAL 5,DET 1,user43,50,marvalshot,1351,4630248018_43
Cade Cunningham (37509362),Quentin Grimes (37509557),Ausar Thompson (37509531),Naji Marshall (37509550),Nikola Vucevic (37509400),Jaden Hardy (37509673),Giannis Antetokounmpo (37509355),Olivier-Maxence Prosper (37509676),314.7341666666667,355.5898358369194,50000,0.00%,0,-100.0%,0,212.45,$-3.0,DAL 4,DET 2,user43,51,marvalshot,802,4630248019_43
Josh Giddey (37509444),Klay Thompson (37509505),Naji Marshall (37509550),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Desmond Bane (37509420),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),313.0405555555556,366.3274512136281,50000,0.00%,0,-100.0%,0,202.15999999999997,$-3.0,DAL 4,CHI 2,user43,50,marvalshot,2992,4630248020_43
Josh Giddey (37509444),Quentin Grimes (37509557),RJ Barrett (37509428),Naji Marshall (37509550),Nikola Vucevic (37509400),Kevin Porter Jr. (37509656),Olivier-Maxence Prosper (37509676),Giannis Antetokounmpo (37509355),335.4552387152778,381.47224120694267,49400,48.83%,0,-98.57%,0,198.69,$-2.96,DAL 3,CHI 2,user43,50,marvalshot,491,4630248021_43
Kevin Porter Jr. (37509656),Luke Kennard (37509544),Quentin Grimes (37509557),Naji Marshall (37509550),Nikola Vucevic (37509400),Tyrese Maxey (37509365),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),325.1793619791667,389.71831667478625,49500,100.00%,0,97.02%,0,201.07,$2.91,DAL 3,LAC 1,user43,50,marvalshot,5166,4630248022_43
Josh Giddey (37509444),Jaylen Brown (37509406),Matas Buzelis (37509624),Giannis Antetokounmpo (37509355),Nikola Vucevic (37509400),Quentin Grimes (37509557),Naji Marshall (37509550),Kylor Kelley (37509901),320.15916666666664,369.3499292615783,50000,0.00%,0,-100.0%,0,200.97,$-3.0,CHI 3,DAL 3,user43,50,marvalshot,2411,4630248023_43
Cade Cunningham (37509362),Coby White (37509464),Quentin Grimes (37509557),Olivier-Maxence Prosper (37509676),Nikola Vucevic (37509400),Jaden Hardy (37509673),Giannis Antetokounmpo (37509355),Kylor Kelley (37509901),325.2675,366.20944492168815,50000,0.00%,0,-100.0%,0,200.57,$-3.0,DAL 4,CHI 2,user43,86,marvalshot,522,4630248024_43
Coby White (37509464),Kelly Oubre Jr. (37509455),Klay Thompson (37509505),Patrick Williams (37509554),Giannis Antetokounmpo (37509355),Cade Cunningham (37509362),Olivier-Maxence Prosper (37509676),Kylor Kelley (37509901),273.92944444444447,319.65401190111,50000,0.00%,0,-100.0%,0,170.64,$-3.0,DAL 3,CHI 2,user43,50,marvalshot,5295,4630248025_43
